model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_3,75.4242,0.4993,0.5,0.0007,10.0,23.0,5
model_0,75.6404,0.4989,0.5,0.0011,10.0,23.0,5
model_1,75.8812,0.5,0.5,0.0,10.0,23.0,5
model_5,76.0187,0.4996,0.5,0.0004,10.0,23.0,5
model_4,76.2092,0.4998,0.5,0.0002,10.0,23.0,5
model_7,77.545,0.4996,0.5,0.0004,10.0,23.0,5
model_2,77.7673,0.4999,0.5,0.0001,10.0,23.0,5
model_6,78.0746,0.4995,0.5,0.0005,10.0,23.0,5
