model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_3,74.9868,0.4995,0.5,0.0005,10.0,23.0,5
model_1,75.0213,0.4996,0.5,0.0004,10.0,23.0,5
model_2,75.1998,0.4995,0.5,0.0005,10.0,23.0,5
model_0,75.3289,0.4994,0.5,0.0006,10.0,23.0,5
