model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_2,77.9954,0.4996,0.5,0.0004,10.0,23.0,5
model_3,78.9271,0.4995,0.5,0.0005,10.0,23.0,5
model_4,80.9942,0.4997,0.5,0.0003,10.0,23.0,5
model_6,81.5965,0.499,0.5,0.001,10.0,23.0,5
model_1,81.7657,0.4989,0.5,0.0011,10.0,23.0,5
model_0,82.2507,0.4995,0.5,0.0005,10.0,23.0,5
model_5,82.6687,0.4993,0.5,0.0007,10.0,23.0,5
model_7,92.1424,0.4988,0.5,0.0012,10.0,23.0,5
