model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_1,75.4626,0.4995,0.5,0.0005,10.0,23.0,5
model_5,75.4772,0.4996,0.5,0.0004,10.0,23.0,5
model_0,75.5738,0.4995,0.5,0.0005,10.0,23.0,5
model_7,75.5901,0.4995,0.5,0.0005,10.0,23.0,5
model_2,75.595,0.4994,0.5,0.0006,10.0,23.0,5
model_3,75.6042,0.4996,0.5,0.0004,10.0,23.0,5
model_4,75.674,0.4994,0.5,0.0006,10.0,23.0,5
model_6,75.9532,0.4996,0.5,0.0004,10.0,23.0,5
