model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_4,75.3024,0.4998,0.5,0.0002,10.0,23.0,5
model_5,75.3301,0.4995,0.5,0.0005,10.0,23.0,5
model_2,75.3374,0.4996,0.5,0.0004,10.0,23.0,5
model_3,75.3686,0.4995,0.5,0.0005,10.0,23.0,5
model_7,75.4891,0.4997,0.5,0.0003,10.0,23.0,5
model_6,75.9121,0.4992,0.5,0.0008,10.0,23.0,5
model_1,75.9222,0.4993,0.5,0.0007,10.0,23.0,5
model_0,76.2324,0.4996,0.5,0.0004,10.0,23.0,5
