model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_3,81.781,0.4993,0.5,0.0007,10.0,23.0,5
model_6,82.1033,0.4997,0.5,0.0003,10.0,23.0,5
model_5,82.598,0.4993,0.5,0.0007,10.0,23.0,5
model_2,83.2455,0.4994,0.5,0.0006,10.0,23.0,5
model_0,83.5165,0.4992,0.5,0.0008,10.0,23.0,5
model_1,83.8895,0.4996,0.5,0.0004,10.0,23.0,5
model_4,84.9153,0.4995,0.5,0.0005,10.0,23.0,5
model_7,87.5531,0.4995,0.5,0.0005,10.0,23.0,5
