model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_7,74.8482,0.4996,0.5,0.0004,10.0,23.0,5
model_0,74.8793,0.4992,0.5,0.0008,10.0,23.0,5
model_6,74.8818,0.4999,0.5,0.0001,10.0,23.0,5
model_5,74.8991,0.4991,0.5,0.0009,10.0,23.0,5
model_1,75.0004,0.4992,0.5,0.0008,10.0,23.0,5
model_3,75.2209,0.5008,0.5,0.0008,10.0,23.0,5
model_2,75.2672,0.4994,0.5,0.0006,10.0,23.0,5
model_4,75.7877,0.5003,0.5,0.0003,10.0,23.0,5
