model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_2,74.6755,0.4991,0.5,0.0009,10.0,23.0,5
model_4,74.7741,0.4993,0.5,0.0007,10.0,23.0,5
model_1,74.8826,0.4993,0.5,0.0007,10.0,23.0,5
model_6,74.997,0.4989,0.5,0.0011,10.0,23.0,5
model_5,75.0724,0.4988,0.5,0.0012,10.0,23.0,5
model_0,75.2283,0.4992,0.5,0.0008,10.0,23.0,5
model_7,75.4056,0.4999,0.5,0.0001,10.0,23.0,5
model_3,75.4453,0.4984,0.5,0.0016,10.0,23.0,5
