model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_6,75.541,0.4998,0.5,0.0002,10.0,23.0,5
model_0,75.5441,0.499,0.5,0.001,10.0,23.0,5
model_4,75.6264,0.4993,0.5,0.0007,10.0,23.0,5
model_5,75.9182,0.4989,0.5,0.0011,10.0,23.0,5
model_1,76.4027,0.4992,0.5,0.0008,10.0,23.0,5
model_7,76.4051,0.499,0.5,0.001,10.0,23.0,5
model_3,76.8028,0.4995,0.5,0.0005,10.0,23.0,5
model_2,77.1666,0.4994,0.5,0.0006,10.0,23.0,5
