model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_2,74.7607,0.4993,0.5,0.0007,10.0,23.0,5
model_7,75.0275,0.4994,0.5,0.0006,10.0,23.0,5
model_1,75.0524,0.4999,0.5,0.0001,10.0,23.0,5
model_4,75.185,0.4988,0.5,0.0012,10.0,23.0,5
model_3,75.2193,0.4987,0.5,0.0013,10.0,23.0,5
model_6,75.4578,0.5005,0.5,0.0005,10.0,23.0,5
model_0,75.6317,0.4989,0.5,0.0011,10.0,23.0,5
model_5,76.2657,0.5006,0.5,0.0006,10.0,23.0,5
