model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_5,74.9119,0.4989,0.5,0.0011,10.0,23.0,5
model_6,75.1172,0.4989,0.5,0.0011,10.0,23.0,5
model_2,75.2829,0.499,0.5,0.001,10.0,23.0,5
model_0,75.3148,0.499,0.5,0.001,10.0,23.0,5
model_7,75.511,0.4989,0.5,0.0011,10.0,23.0,5
model_3,75.6688,0.4991,0.5,0.0009,10.0,23.0,5
model_4,75.7781,0.4992,0.5,0.0008,10.0,23.0,5
model_1,75.79,0.4992,0.5,0.0008,10.0,23.0,5
