model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_5,81.3225,0.4993,0.5,0.0007,10.0,23.0,5
model_0,82.3129,0.5001,0.5,0.0001,10.0,23.0,5
model_3,82.4358,0.4995,0.5,0.0005,10.0,23.0,5
model_7,83.5939,0.4997,0.5,0.0003,10.0,23.0,5
model_6,84.3666,0.4994,0.5,0.0006,10.0,23.0,5
model_1,86.7322,0.4992,0.5,0.0008,10.0,23.0,5
model_4,88.2518,0.4994,0.5,0.0006,10.0,23.0,5
model_2,101.7784,0.4989,0.5,0.0011,10.0,23.0,5
