model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_0,76.3844,0.4995,0.5,0.0005,10.0,23.0,5
model_6,76.9644,0.4994,0.5,0.0006,10.0,23.0,5
model_7,77.2606,0.4999,0.5,0.0001,10.0,23.0,5
model_1,78.5495,0.499,0.5,0.001,10.0,23.0,5
model_4,78.7029,0.4996,0.5,0.0004,10.0,23.0,5
model_3,79.02,0.4992,0.5,0.0008,10.0,23.0,5
model_2,79.0665,0.4995,0.5,0.0005,10.0,23.0,5
model_5,79.7537,0.4992,0.5,0.0008,10.0,23.0,5
