model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_5,97.2313,0.4994,0.5,0.0006,10.0,23.0,5
model_4,106.9188,0.5009,0.5,0.0009,10.0,23.0,5
model_3,107.3676,0.4992,0.5,0.0008,10.0,23.0,5
model_0,107.6145,0.505,0.5,0.005,10.0,23.0,5
model_1,110.5122,0.5114,0.5,0.0114,10.0,23.0,5
model_6,111.2521,0.5172,0.5,0.0172,10.0,23.0,5
model_7,120.361,0.5496,0.5,0.0496,10.0,23.0,5
model_2,121.5312,0.5627,0.5,0.0627,10.0,23.0,5
