model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_5,80.7659,0.4993,0.5,0.0007,10.0,23.0,5
model_6,82.5956,0.4994,0.5,0.0006,10.0,23.0,5
model_4,82.6857,0.4994,0.5,0.0006,10.0,23.0,5
model_0,82.8954,0.4993,0.5,0.0007,10.0,23.0,5
model_7,85.7482,0.4995,0.5,0.0005,10.0,23.0,5
model_3,86.2977,0.4993,0.5,0.0007,10.0,23.0,5
model_1,86.3878,0.4993,0.5,0.0007,10.0,23.0,5
model_2,89.0911,0.4991,0.5,0.0009,10.0,23.0,5
