model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_5,77.8104,0.4993,0.5,0.0007,10.0,23.0,5
model_0,78.0884,0.4993,0.5,0.0007,10.0,23.0,5
model_6,78.0986,0.4994,0.5,0.0006,10.0,23.0,5
model_4,78.6985,0.4995,0.5,0.0005,10.0,23.0,5
model_1,79.012,0.4995,0.5,0.0005,10.0,23.0,5
model_3,79.1064,0.4993,0.5,0.0007,10.0,23.0,5
model_7,80.1039,0.4994,0.5,0.0006,10.0,23.0,5
model_2,80.6007,0.4994,0.5,0.0006,10.0,23.0,5
