model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_5,74.8779,0.4994,0.5,0.0006,10.0,23.0,5
model_1,74.9559,0.4994,0.5,0.0006,10.0,23.0,5
model_6,75.14,0.4993,0.5,0.0007,10.0,23.0,5
model_0,75.2496,0.4994,0.5,0.0006,10.0,23.0,5
model_7,75.2581,0.4993,0.5,0.0007,10.0,23.0,5
model_4,75.2717,0.4997,0.5,0.0003,10.0,23.0,5
model_2,75.3861,0.4994,0.5,0.0006,10.0,23.0,5
model_3,75.511,0.4994,0.5,0.0006,10.0,23.0,5
