model,compliance,rho_actual,rho_target,rho_error,penalty,omega,scale
model_6,76.1401,0.4994,0.5,0.0006,10.0,23.0,5
model_0,76.3864,0.4995,0.5,0.0005,10.0,23.0,5
model_4,76.4126,0.4994,0.5,0.0006,10.0,23.0,5
model_1,76.4493,0.4995,0.5,0.0005,10.0,23.0,5
model_5,76.4715,0.4994,0.5,0.0006,10.0,23.0,5
model_3,76.5574,0.4993,0.5,0.0007,10.0,23.0,5
model_7,76.6755,0.4995,0.5,0.0005,10.0,23.0,5
model_2,76.9586,0.4995,0.5,0.0005,10.0,23.0,5
